Numer indeksu;Zestaw kolokwium;wynik kol1
151629;Zestaw A;19pkt
162689;Zestaw B;10pkt
155065;Zestaw A;4pkt
162405;Zestaw B;23pkt
162410;Zestaw A;27pkt
162639;Zestaw B;11pkt
162413;Zestaw A;23pkt
162463;Zestaw B;22pkt
162687;Zestaw A;19pkt
162640;Zestaw B;17pkt
162641;Zestaw A;15pkt
162602;Zestaw B;26pkt
151192;Zestaw A;2pkt
162423;Zestaw B;23pkt
162430;Zestaw A;26pkt
162643;Zestaw B;15pkt
162645;Zestaw A;26pkt
162646;Zestaw B;11pkt
162436;Zestaw A;15pkt
162441;Zestaw B;23pkt
155660;Zestaw A;6pkt
146622;Zestaw B;3pkt
